music,singer
Number 1,투개월
샐러드 기념일 (윤은혜 샐러드 송 원곡),HUS (허밍어반스테레오)
Would U,Red Velvet (레드벨벳)
선 (Feat. 우효) (45.7cm),유승우
기분 좋은 날 (웅진 쿠첸 CF 삽입곡),알렉스
"사랑해 (맥심 아이스커피믹스 - 텔레파시 `조인성, 이나영`편)",스윗소로우 (SWEET SORROW)
Love Never Felt So Good,Michael Jackson
Green Light,보아 (BoA)
널 생각해,원 모어 찬스 (one more chance)
사랑은 맛있다♡,휘성 (Realslow)
Lover Boy,클래지콰이
기분탓 (Feat. 백아연),슬리피
The Love Bug (With BoA),m-flo
랄랄라 송,언니쓰
Madeleine Love,CHEEZE (치즈)
바닐라 Love (Feat. 샤이니 온유 Part 2),이현지
봄인가 봐 (Spring Love),에릭남 (Eric Nam)
I Remember (CJ홈쇼핑 “지혜가힘이다편” CF삽입),Mocca
Perhaps Love (사랑인가요),하울
커피 한잔 어때? (Feat. 요조),HUS (허밍어반스테레오)
Where Is The Love?,Black Eyed Peas
I`ll Be There,스피카
Gone (Feat. 주희 Of 에이트),다이나믹 듀오
엄마야,신승훈
러브 레시피,거미
남쪽 끝섬,하찌와 TJ
사랑하기 좋은 날,장나라
Happy Birthday To You,구혜선
좋아해,요조
사랑에 빠진 딸기 (배스킨라빈스 31 CF 삽입곡),타루
슈퍼스타,러브홀릭
깍지껴요 (Feat. Gaeko From Dynamicduo),알렉스
Morning Call,이바디
Kiss Me,Sixpence None The Richer
Sunday Brunch,박정현
꽃이다,알렉스
My Love,박효신
좋을텐데,성시경
난 사랑에 빠졌죠,박지윤
200%,AKMU (악동뮤지션)
니가 참 좋아,쥬얼리
연애시대 (Feat. Ra.D) (Narr. 한효주),이승기
처음 뵙겠습니다 (With 휘성),지나
내 손을 잡아,아이유
Butterfly,Jessica (제시카)
나의 마음을 담아 (`달빛천사` 여는노래),이용신
"내게 와 줘 (다!다!다! 2, 여는 노래)",김연정
야야야,베이비 복스
사랑가,구혜선
키키,장나라
초코캣,이바디
안을까 말까,Of 비스트
상상더하기,라붐 (LABOUM)
꽃길만 걷게 해줄게,데이브레이크 (DAYBREAK)
아픈데 좋아 (UUUUU),VIXX (빅스)
Ooh La-La!,소녀시대 (GIRLS` GENERATION)
Oh Little Girl,슬레이트
"입장정리 (Feat. 최자 Of 다이나믹듀오, Simon D Of 슈프림팀)",프라이머리
Romeo N Juliet (`우리결혼했어요` 알렉스와 신애 듀엣곡),클래지콰이
Dream (Prod. by 박근태),수지 (SUZY)
숙녀예찬,박효신
청혼,이소라
결혼해 줄래 (Feat. BIZNIZ),이승기
매력쟁이 (Feat. MC 몽),린
Officially Missing You,긱스 (Geeks)
I Need You,허각
Lalala...Love Song,애즈원
연애 (Feat. Hanyi),프리스타일
하이힐,박혜경
사랑의 롤러코스터,요조
죽겠네 (Album Ver.),10CM
기분이 좋아,러브홀릭
"I`m a Boy, You`re a Girl (Feat. 옥상달빛)",VIXX (빅스)
허니 허니 베이비 (LG CYON 김태희 쿠키폰 광고 삽입곡),요조
두근두근,이바디
좋은날,브라운아이드걸스
Happy My Star (Feat. As One) (Drama Ver.),건휘
"Love (Feat. Bumkey, Paloalto)",프라이머리
아름다운 그대에게,원더걸스
Isn`t She Lovely (Edit) (MBC 무한도전 콘서트),Stevie Wonder
It`s Gonna Be Rolling (Duet. 박효신),이소라
Love Fiction,울랄라세션
선물할게,옥상달빛
Love Love Love,Hope
그대 그리고 사랑,박지윤
How Are You?,쥬얼리
Come Again,m-flo
상상,송은이
Je T`aime,해이
Baby Love,HUS (허밍어반스테레오)
두근두근,써니힐
Stand By Me,SHINee (샤이니)
HAPPY TOGETHER,박효신
달리기,S.E.S.
새로와,옥상달빛
들었다 놨다,데이브레이크 (DAYBREAK)
Divin`,긱스 (Geeks)
Good For You,에릭남 (Eric Nam)
Interview,에릭남 (Eric Nam)
천국의 문 (Heaven`s Door),에릭남 (Eric Nam)
"Love Seat (Feat. 타루, 허밍 어반 스테레오)",휘성 (Realslow)
My Lifestyle (Feat. Dok2),Jessica (제시카)
팝콘,데이브레이크 (DAYBREAK)
Shine Your Light,박효신
Milky Way,VIXX (빅스)
F**k You,Lily Allen
함께라면 (Feat. 김진표) (jTBC 드라마 `우리 결혼할 수 있을까` 삽입),클래지콰이
사랑이 되어줄래? (Feat. All Stars),김형중
La La La Love Song (BoA w／z SOUL`d OUT) (Bonus Track),보아 (BoA)
Count On Me,Bruno Mars
She`s So Lovely,Scouting For Girls
솜사탕,네미시스
힘 내! (Way To Go),소녀시대 (GIRLS` GENERATION)
김밥,더 자두
사랑하나요!?,이승환
"Love Is an Open Door (From ""Frozen""/Soundtrack Version)",Kristen Bell
I Will Give You Everything,클래지콰이
Love Is You,Chrisette Michele
Bon! Bon! (`우리 결혼했어요` 빅토리아 &닉쿤편 삽입곡),이진욱
Call You Mine (Feat. Geologic Of The Blue Scholars),Jeff Bernat
I Do,비
Lay Back,케이윌
봄이 와 (Feat. 롤러코스터),김현철
연애할래요?,이한철
Luv Punch,인스턴트 로맨틱 플로어
너 사용법,에디킴
너의 의미 (Feat. 김창완),아이유
Romantico,투개월
벚꽃 엔딩,버스커 버스커
사랑 빛,CNBLUE (씨엔블루)
러브 레시피,클래지콰이
Mood Indigo,CHEEZE (치즈)
Incidental Montage,FreeTEMPO
출발,김동률
Just The Way You Are,Bruno Mars
이쁘다니까,에디킴
우연히 봄 (Acoustic Ver.),로꼬
우주를 건너,백예린
좋다,데이브레이크 (DAYBREAK)
Marry You,Bruno Mars
Chocolate Drive,모이다밴드
CHU! POP! CHU!,린
무지개 (Feat. 윤닭 Of 오브로젝트),스탠딩 에그
Sweety,샵
"비타민 (김태희 요정송, 파리바게뜨 CF 삽입곡)",박학기
사랑을 주세요 (2기 엔딩) (Original),타이푼
Give Love,AKMU (악동뮤지션)
Be My Love (Feat. 이승열),클래지콰이
차근차근 (Way For Love),SUPER JUNIOR (슈퍼주니어)
나였으면,나윤권
꽃송이가,버스커 버스커
사랑한다는 말,스탠딩 에그
고백,뜨거운 감자
사랑할거야,박혜경
Lalala,스탠딩 에그
자기야 여보야 사랑아,린
동화 (CF - 한일건설 유앤아이아파트 김하늘편),박혜경
Hawaian couple (에뛰드 복숭아송 원곡),HUS (허밍어반스테레오)
Kiss,레인보우
I Love You,AKMU (악동뮤지션)
너에게 주고 싶은 세 가지,박혜경
쿵쿵쿵,김민승
예뻐할께 (Feat. MC한길),타루
Love Blossom (러브블러썸),케이윌
Baby Baby,소녀시대 (GIRLS` GENERATION)
Lucky Star (Korean Ver.) (Studio Ver.),SHINee (샤이니)
안녕,박혜경
나도 여자랍니다,장나라
마쉬멜로우,아이유
Lucky Day,에브리 싱글 데이
걱정남녀,클래지콰이
고백,박혜경
네 생각,존박
Fallin` (Feat. 일리닛),폴킴
Colorful,SHINee (샤이니)
어쩌면 어쩌면,알렉스
달고나,San E
볼수록 예뻐,2AM
가슴이 뛴다,케이윌
Say U Say Me,VIXX (빅스)
사랑한다는 말,김동률
Sweety,클래지콰이
우린 제법 잘 어울려요,성시경
"수고했어, 오늘도",옥상달빛
VIVA청춘,딕펑스 (DICKPUNKS)
Nothing Better,브라운 아이드 소울
썸 (Feat. 릴보이 Of 긱스),소유 (SOYOU)
쓰담쓰담,10CM
꺼내 먹어요,Zion.T
Make You Happy (Album Version),MIKA
Tell Me Tell Me,샵
하하하쏭,자우림
주문을 걸어,박혜경
이 지금,아이유
덩크 슛,이승환
Happy (Gru`s Theme From Despicable Me 2),Pharrell Williams
행운을 빌어요,페퍼톤스 (Peppertones)
하늘을 달리다,이적
행복,H.O.T.
Boo,아이유
Love Ballad,브라운 아이드 소울
여우야,투개월
Love Me After 12AM (Feat. Alex - 클래지콰이),m-flo
안아줘요,10CM
Novabossa,클래지콰이
비행기,거북이
Festival (인생은 아름다워),엄정화
일과 이분의 일,투투
Love Lane,마마무 (Mamamoo)
"LOVE (Feat. Bumkey, Paloalto)",프라이머리
Loving You,Minnie Riperton
L - O - V - E,Olivia Ong
연애의 재구성,소란 (SORAN)
Good Day,존박
인턴,옥상달빛
봄이야,정다운
Candy Lane,S.E.S.
두근두근 (영화 `핸드폰` 삽입곡),루싸이트 토끼
Chocolate,타루
너무나 눈부신,브리즈
I Remember,Mocca
봄이왔다,타루
Happy Things,제이레빗(J Rabbit)
딱 좋아 (Just right),GOT7 (갓세븐)
아틀란티스 소녀 (Atlantis Princess),보아 (BoA)
오늘부터 1일 (Day 1),케이윌
별 빛이 내린다,안녕바다
딸기마카롱,프린세스 디지즈
Somethin Kinda Crazy,Red Velvet (레드벨벳)
Butterfly (Feat. 슬기 Of SMROOKIES),헨리 (HENRY)
첫눈에... (Snowy Wish),소녀시대 (GIRLS` GENERATION)
Your Name,SHINee (샤이니)
좋아해도 되나요 (...Is It OK?),f(x)
매력덩어리,프린세스 디지즈
Take It Slow,Red Velvet (레드벨벳)
좋은일이 있을거야,제이레빗(J Rabbit)
닫아줘 (Close the Door),SHINee (샤이니)
SUGAR BABY,오마이걸 (OH MY GIRL)
Day 1,Red Velvet (레드벨벳)
귀여운 남자,JUNIEL
Love Love Love,라타나
Surprise Party,f(x)
넌 내 애인이고 사랑이고 운명이야,블루베리
Happy!,Mocca
샤랄라,신민아
넌 내꺼 넌 내 남자 (Feat. 파니니),마끼아또(Machiato)
LOVE DAY,양요섭
사탕 (Candy),Red Velvet (레드벨벳)
우리 그냥 사랑하게 해주세요,Apink (에이핑크)
찌릿찌릿,Kei (김지연)
별도 달도 (Feat. Aries),단디
너는 초콜렛 (Feat. Soulrain),루앤
Peek-A-Boo,박규리 (카라)
Oh Boy,Red Velvet (레드벨벳)
만화처럼 (Like Romance Comics),매드클라운
행복해 (Feat. 타루),커피소년
딱 좋아,Kuan
사랑이야 (송창식),이소라
달콤해,공기남녀
솜과 사탕,안녕하신가영
다른 별 (Feat. Lovey),브라더수
Thinking Out Loud,Jasmine Thompson
Groovin`,Jeff Bernat
Lovely Day,Apink (에이핑크)
Fly,긱스 (Geeks)
눈부신 은하수 그 길 위에 (The Milky Way),Haro
The Show,Lenka
おじいさんの11ヶ月 / Ojisan No Zyuikkagetsu (할아버지의 11개월) (Zipel 퍼니처스타일 윤은혜 편),Kuricorder Quartet
A Good Day,Lena
"Bubble Love (tvN `꽃보다 할배, 꽃보다 누나, 감자별 2013QR3`, MBC `우리 결혼했어요` 삽입곡)",러브래빗
타임라인 (Timeline),소란 (SORAN)
정주나요,스윗 콧소로우 (정준하 & 스윗소로우)
평화의 날,에픽하이 (EPIK HIGH)
All You Need Is Love,무한도전
WE LIKE 2 PARTY,BIGBANG
Wonder Boy,SUPER JUNIOR (슈퍼주니어)
Kissing Me! (Feat. 엄정화),다니엘헤니
Hold The Line,조pd (ZoPD)
한 발짝 두 발짝,오마이걸 (OH MY GIRL)
Kissing You,소녀시대 (GIRLS` GENERATION)
맘에 들면 (If U Wanna),카라
Pretty Girl,카라
비밀번호 486,윤하 (YOUNHA)
Rock U,카라
Julian,스쿨
나에게로 떠나는 여행,버즈
REALLY REALLY,WINNER
Antifreeze,검정치마
새 신발,아이유
금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유
미안해 (feat. Beenzino),Zion.T
Fly,에픽하이 (EPIK HIGH)
Modern Times,아이유
파자마파티 (Pajama Party),SUPER JUNIOR-Happy (슈퍼주니어-Happy)
Darling,걸스데이
우리 사랑하게 됐어요.,가인
요리왕 (Cooking? Cooking!),SUPER JUNIOR-Happy (슈퍼주니어-Happy)
Mr. Chu (On Stage),Apink (에이핑크)
에너지 (Feat. 선예),마이티 마우스
She`s Back,인피니트
I Love U Oh Thank U (Feat. 김태우 Of God),MC몽
어땠을까 (Feat. 박정현),싸이 (PSY)
둘이 (You&I),SUPER JUNIOR-Happy (슈퍼주니어-Happy)
Secret Love,구하라 (카라)
사랑해 U,서인국
찾았다,박유천
그녀가 웃잖아....,김형중
Man In Love (남자가 사랑할때),인피니트
My My,Apink (에이핑크)
Beautiful Girl,김아중
취향저격,iKON
"I Love You (Feat. 백찬, 주희 Of 8eight)",2AM
Tomboi (Feat. Lovey),알렉스
없는게 메리트,옥상달빛
Sweet Dream,장나라
그대는 정말 대단해요,에이트
희한한 시대,옥상달빛
SUNSHINE,레인보우
Birthday,Katy Perry
달아요,박정현
The Best Thing (LG 휘센 `이남자의 사랑은 변함이 없다` 편),Mocca
사랑하오,알렉스
사랑스러워,김종국
Tell Me Tell Me,레인보우
Nothing`s Over,인피니트
Love Mode (Feat. Tablo),클래지콰이
사랑은 은하수 다방에서,10CM
"Love, LaLaLa",VIXX (빅스)
I`m Yours,Jason Mraz
