music,singer
Push-ups,Scarlet Pleasure
Tightrope,Anna Moon
Lost In The Middle,Catherine McGrath
YOU YOU YOU,Syahravi
The Git Up,Blanco Brown
"Sweet & Sour (Feat. Lauv, Tyga)",Jawsh 685
DUCK DUCK GOOSE,dwilly
Stupid Things,Torine
Good Vibes,HRVY
Backyard Boy,Claire Rosinkranz
Somewhere Like Her,EBEN
Waste of Lime,Ingrid Andress
Happy Pill,Common Kings
Grateful (Feat. Poo Bear),13 Crowns
WAIT FOR YOU,Jake Miller
Hell of a Time,Hoodie Allen
One of a Kind (feat. Sarah Kang),Sam Ock
Boys Like You,KELLA
Always You,Louis Tomlinson
papacito,Alaina Castillo
Don`t Leave,Joel Baker
Shutter Bug,Above Envy
Superman,Keith Urban
Oldest Teenager,Lexi Jayde
Backwards,Forrest.
Hit Me Back (feat. Social House),Conor Matthews
Good Enough,Carlie Hanson
Citrus,Sylo Nozra
3 small words,MisterWives
LOVE,X Lovers
Group Therapy,Elohim
i wanna love somebody,We Three
Uncomfortable,Josie Man
Good People,Rhys Lewis
Running,Arlissa
I Should've Told You,Fiji Blue
Young (Feat. Zophia),Chris Burton
Don't Call Me,ASHS
Don't Give Up On Me,Jamie Cullum
I’m Ready,Maia Wright
Cauliflower,Jak Lizard
Be Like That,Kane Brown
Funeral,Leanna Crawford
Sunday Morning,The Oceans
Who Do You Think That You Are??,Daniel Schulz
Hot Sauce,Breland
Breakup Breakfast,Mathilda Homer
Learn To Fly,Surfaces
Problems (feat. Grady),Bryce Vine
Underground,More Giraffes
Favorite Regret (feat. Sval),Peder Elias
For A Minute,WizTheMc
Bye Bye,Jeremy Passion
Crazy AF,In Real Life
Coulda Woulda Shoulda,Dagny
Alamo,Alec Benjamin
Regret It,Peg Parnevik
I Don't Belong to Love Her,Oslo Ibrahim
Complicated,Eves Karydas
Change For Me,Brasstracks
Dance Alone,Tayla Parx
Fire To The Floor,Sezairi
FLIGHT PATH,E^st
HALO HALO (feat. Chevy),Shawn Wasabi
Pick Me,Wafia
Honey In The Summer,PUBLIC
That's What She'd Say,Ceraadi
Win You Over,Abby Wolfe
Why Can't We Be Friends?,Jordy Searcy
Just Friends,Audrey Mika
Five More Minutes,Jonas Brothers
Never Been To Paris,Two Year Vacation
"1, 2",mxmtoon
Cant Stop,Dan Bravo
Ensom Forevigt,Noah
Home,Hamzaa
Straight To You,Stephanie Poetri
In or Out,Jens
Sliced Bread,Josie Proto
"Dear Dunkin,",Cloudy
Video Sunshine,Knox Hamilton
Party Shit / Misbehaving,Foley
overshare,Kelsea Ballerini
Phobias,Johnny Orlando
Me & You Together Song,The 1975
Kitchen Table,Ea Kaya
This View,Surfaces
Cool,Lisa Pac
Wish You Were Sober,Conan Gray
Give It Right Back,Liana
Little Lies,Anthony Ramos
6 months,John K
Crybaby (Feat. Theron Theron) (Clean),Pia Mia
Girls,Balcony
Shine (Feat. Willy Winarko),Kim!
Like Mike,Tone Stith
Freezing (Main),MoZella
Hard To Forget,Sam Hunt
In The LBC,4th & Orange
Yellow Hearts,Ant Saunders
IN-N-OUT,George D.Blue
Friday Song,Davai
Fun,Selena Gomez
Stop Selling Her Drugs (feat. Dominic Fike),Bakar
Poetic,Klara & Jag
Still New York,MAX
Me Too,Ayanis
L.O.V.E.,Westlife
Everything Is Better Without You,Kira Puru
Chance,CamRus
Feelin' alright,Gabriela Bee
I Forgot That You Existed,Taylor Swift
Myself,Post Malone
