music,singer
Feel Good,China Lane
Feeling Something,Favor
Talk It Out,Island Club
Juice (Breakbot Mix),Lizzo
Back to Love,Evelyn `Champagne` King
Driving On My Own,Teeers
When I`m with You,French Kiss
Depths (Pt. I),Yumi Zouma
Pretty Girl,Clairo
Red Light (Feat. Arielle),Cavego
Ninja,The George Kaplan Conspiracy
For You,Vernon Burch
Wait for Me,Swim Mountain
Automatic Driver,La Roux
Big Brown Eyes (Radio Edit),Benny Sings
Alles,Jeremias
Superstar,Majid Jordan
flowerbeds,Sfven
Take You Back,goodnewsbadnews
Boy,The Asteroids Galaxy Tour
That Guy,Patawawa
Bambi,Hippo Campus
Far Apart,All The Rest
WHITNEY,Gavin Turek
Dancin',Neon Valley
Thru These Tears,LANY
Dive,Tim Atlas
Do It,Tuxedo
