music,singer
Apple (Feat. 박재범),가인
설렘주의 (With 기리보이),NS 윤지
설레 (Feat. 백예린 Of 15&),올티 (Olltii)
썸 타긴 뭘 타,백아연
Goodbye Summer (f(Amber+Luna+Krystal) (Feat. D.O. Of EXO-K),f(x)
Sunshine (Feat. Crush),Hoody (후디)
봄이 좋냐??,10CM
봄바람,버스커 버스커
YooHoo (유후),시크릿
연애하고 싶어,홍대광
With Coffee,훈스 (HOONS)
Be There,CHEEZE (치즈)
#화이트 스타일 (Feat. 김호연 Of 달 좋은밤),키썸 (Kisum)
심심할때만 (Feat. 소유 of 씨스타),이루펀트
1위(primero),키썸 (Kisum)
복숭아,아이유
Fox,보아 (BoA)
이기주의보,로이킴
LOVE,마마무 (Mamamoo)
Kiss My Lips,보아 (BoA)
Who Are You (Feat. 개코),보아 (BoA)
Double Trouble Couple,마마무 (Mamamoo)
Q&A,체리블렛 (Cherry Bullet)
사랑이 뭔데,서현진
이불 밖은 위험해,그리 (GREE)
음오아예 (Um Oh Ah Yeh) (Acappella Ver.),마마무 (Mamamoo)
Action,블락비 (Block B)
알다가도 모르겠어,허니스트 (HONEYST)
툭 (Feat. 양요섭),프라이머리
드라마 (Feat. 김성규),프라이머리
질투가 나 (Feat. 박지민),백아연
Mr. Chu,Apink (에이핑크)
Flat Shoes (Feat. Lovey),크루셜스타 (Crucial Star)
느낌적인 느낌,Apink (에이핑크)
처음부터 너와 나,볼빨간사춘기
Outro : Propose,방탄소년단
하루만,방탄소년단
여우야,조이 (JOY)
하지하지마,GOT7 (갓세븐)
썸 (You`ll Be Mine),NATURE (네이처)
How Do I Say (Feat. 고영배 of 소란),러비
향수 (Feat. 크루셜스타),러비
Darling,걸스데이
어떤 별보다,Red Velvet (레드벨벳)
IAM,새벽한시
우리가 즐거워,청하
보란듯이 (Feat. 앤덥),손승연
샘이나,구구단 세미나
이불킥,방탄소년단
100%,키썸 (Kisum)
Dream (Prod. by 박근태),수지 (SUZY)
여우야,조이 (JOY)
LP,Red Velvet (레드벨벳)
너 앞에서 나는 (Feat. 브라더수),박경
CUPID,카라
가르마,AKMU (악동뮤지션)
Converse High,방탄소년단
드라마 (DRAMA),나인뮤지스
보일 듯 말 듯,유주 (여자친구)
봄 사랑 벚꽃 말고,HIGH4 (하이포)
딱 좋아 (Just right),GOT7 (갓세븐)
사랑꽃 (Feat. 고우리),술제이 (Sool J)
CUPID,오마이걸 (OH MY GIRL)
썸남썸녀 (Feat. 휘성),케이윌
나는 달라 (Feat. BOBBY),HI SUHYUN
I Think I Am,술제이 (Sool J)
이럴거면 그러지말지 (Feat. Young K),백아연
쿵쿵쿵,김민승
쏘쏘,백아연
조별과제,CHEEZE (치즈)
우연히 봄,로꼬
썸타 (Lil` Something),첸 (CHEN)
저기요,젤리쿠키
Me You (Feat. 백예린 Of 15&),San E
심상치 않아 (Feat. 주영),키썸 (Kisum)
오글오글,박경
미행 (그림자: Shadow),f(x)
구름,로시 (Rothy)
오빠야,술제이 (Sool J)
좋아한다 안 한다 (Duet. 세정 of 구구단) (Prod. 박경),태일 (블락비)
음오아예 (Um Oh Ah Yeh),마마무 (Mamamoo)
쟤 보지 마 (U&I),써니 (SUNNY)
연예할래,박보람
예뻐졌다 (Feat. 지코 Of Block B),박보람
예쁜 나이 25살,송지은
예뻐죽겠어,코타 (COTA)
썸 (Feat. 릴보이 Of 긱스),소유 (SOYOU)
여우 같은 내 친구 (No More),f(x)
야 하고 싶어 (Feat. 시우민 of EXO),지민 (AOA)
어디에서 왔는지,방탄소년단
들었다 놨다 (Love Actually),써니힐
보기 드문 여자,블락비 (Block B)
선 (Feat. 우효) (45.7cm),유승우
러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳)
보통연애 (Feat. 박보람),박경
단발머리 (Short Hair),AOA
니가 하면 로맨스 (Feat. 다비치),케이윌
Right? (Feat. 소유),프라이머리
너 때문에,스피카
넘어져라,백아연
너 말야 너,PRISTIN (프리스틴)
Running,PRISTIN (프리스틴)
Q&A,세븐틴
바래다줄게 (Take You Home),백현 (BAEKHYUN)
UP데이트,달수빈
Beautiful Lady,종현 (JONGHYUN)
a Good Boy,백아연
아낀다,세븐틴
Somethin Kinda Crazy,Red Velvet (레드벨벳)
Sweet Crazy Love,이달의 소녀 오드아이써클
나비소녀 (Don`t Go),EXO
Oh Boy,Red Velvet (레드벨벳)
A,GOT7 (갓세븐)
