keyword,tag,text
anger,분노,"검찰, 추미애 아들 '특혜휴가 의혹' 관련 국방부 압수수색 | 다음 https://t.co/MuNaOo2LTW#조국 #추미애 #아빠찬스 #엄마찬스 #추미애아들 #탈영 #공정 #균등 #정의 #신뢰… https://t.co/QcyqDbtCAn박동기(사과나무)2시간 전00검찰, 추미애 아들 '특혜휴가 의혹' 관련 국방부 압수수색 | 다음 https://t.co/MuNaOo2LTW#조국 #추미애 #아빠찬스 #엄마찬스 #추미애아들 #탈영 #공정 #균등 #정의 #신뢰… https://t.co/QcyqDbtCAn"
anger,분노,"조국 분노 ""내 딸에 추잡한 '성적 허위사실' 쏟아낸 일베 가만 안두겠다"" https://t.co/NFe40jUMDJ#조국 #추미애 #추미애아들 #탈영 #아빠찬스 #엄마찬스 #공정 #균등 #정의 #청탁… https://t.co/T7ufgbgmHa박동기(사과나무)3시간 전00조국 분노 ""내 딸에 추잡한 '성적 허위사실' 쏟아낸 일베 가만 안두겠다"" https://t.co/NFe40jUMDJ#조국 #추미애 #추미애아들 #탈영 #아빠찬스 #엄마찬스 #공정 #균등 #정의 #청탁… https://t.co/T7ufgbgmHa"
anger,분노,으으으으으아아아아아아!!!!!#분노그림록5시간 전00으으으으으아아아아아아!!!!!#분노 
anger,분노,#분노당선되니 의원 재산 1700억원 증가신고액 기준 평균 10억씩 늘어이런 나쁜놈들이 적폐다#거짓_정치인#사기꾼_정치인#비윤리적#나쁜놈들이다5W1H7시간 전00#분노 당선되니 의원 재산 1700억원 증가신고액 기준 평균 10억씩 늘어이런 나쁜놈들이 적폐다#거짓_정치인#사기꾼_정치인#비윤리적#나쁜놈들이다 
anger,분노,"""우리도 전화찬스 한번 써보자"" 추미애 아들에 들끓는 軍心 https://t.co/ieTcRU2reW #조국 #추미애 #아빠찬스 #엄마찬스 #추미애아들 #탈영 #공정 #균등 #정의 #문재인정부 #레임덕… https://t.co/YzjZki1SkH박동기(사과나무)8시간 전11""우리도 전화찬스 한번 써보자"" 추미애 아들에 들끓는 軍心 https://t.co/ieTcRU2reW#조국 #추미애 #아빠찬스 #엄마찬스 #추미애아들 #탈영 #공정 #균등 #정의 #문재인정부 #레임덕… https://t.co/YzjZki1SkH"
anger,분노,"[단독] 전주혜 ""부대장 승인기록 없으면 탈영, 그게 대법판례"" https://t.co/HpBZOv8JDh #조국 #추미애 #추미애아들 #탈영 #아빠찬스 #엄마찬스 #공정 #균등 #정의 #청탁 #민심… https://t.co/pszOwEakgd박동기(사과나무)19시간 전12[단독] 전주혜 ""부대장 승인기록 없으면 탈영, 그게 대법판례"" https://t.co/HpBZOv8JDh#조국 #추미애 #추미애아들 #탈영 #아빠찬스 #엄마찬스 #공정 #균등 #정의 #청탁 #민심… https://t.co/pszOwEakgd"
anger,분노,"문 대통령의 베를린구상, 한반도 전쟁위기 타개책이었다  #베를린_구상 #한반도_평화_프로세스 #분노 #문재인 #밥_우드워드 https://t.co/8qeMgkCB0f 구영식 기자오마이뉴스20시간 전3461문 대통령의 베를린구상, 한반도 전쟁위기 타개책이었다 #베를린_구상 #한반도_평화_프로세스 #분노 #문재인 #밥_우드워드 https://t.co/8qeMgkCB0f 구영식 기자"
anger,분노,"이봐요, 왜들 이래요? (게임인걸요, 볼펠……!) 탁자에서 내려와! #분노 #씩씩  고맙소, 후에 만납시다.Wolfgang A. Mozart하루 전00이봐요, 왜들 이래요? (게임인걸요, 볼펠……!) 탁자에서 내려와! #분노 #씩씩   고맙소, 후에 만납시다."
anger,분노,#분노 https://t.co/70DmZLp0Uy쌍쌍바하루 전00#분노 https://t.co/70DmZLp0Uy
anger,분노,으으으으으아아아아아아!!!!!#분노그림록하루 전00으으으으으아아아아아아!!!!!#분노 
anger,분노,으으으으으아아아아아아!!!!!#분노그림록2일 전00으으으으으아아아아아아!!!!!#분노 
